date,tournament,season,team_a,score_a,team_b,score_b,neutral,tier
2022-08-28,WC Qualifiers,2023,ISR,83,SWE,95,False,0.5
2022-08-28,WC Qualifiers,2023,SEN,90,CMR,71,False,0.5
2022-08-28,WC Qualifiers,2023,TUR,72,SRB,79,False,0.5
2022-08-29,WC Qualifiers,2023,ARG,95,BAH,77,False,0.5
2022-08-29,WC Qualifiers,2023,AUS,98,IRI,68,False,0.5
2022-08-29,WC Qualifiers,2023,BRA,72,MEX,82,False,0.5
2022-08-29,WC Qualifiers,2023,CHN,80,BHR,67,False,0.5
2022-08-29,WC Qualifiers,2023,COL,77,USA,95,False,0.5
2022-08-29,WC Qualifiers,2023,IND,63,LBN,95,False,0.5
2022-08-29,WC Qualifiers,2023,NZL,100,JOR,72,False,0.5
2022-08-29,WC Qualifiers,2023,PAN,50,CAN,106,False,0.5
2022-08-29,WC Qualifiers,2023,PHI,84,KSA,46,False,0.5
2022-08-29,WC Qualifiers,2023,URU,78,PUR,70,False,0.5
2022-08-29,WC Qualifiers,2023,VEN,76,DOM,72,False,0.5
2022-08-30,WC Qualifiers,2023,JPN,73,KAZ,48,False,0.5
2022-09-01,EuroBasket,2022,BEL,79,GEO,76,True,0.7
2022-09-01,EuroBasket,2022,BIH,95,HUN,85,True,0.7
2022-09-01,EuroBasket,2022,ESP,114,BUL,87,True,0.7
2022-09-01,EuroBasket,2022,FRA,63,GER,76,True,0.7
2022-09-01,EuroBasket,2022,SVN,92,LTU,85,True,0.7
2022-09-01,EuroBasket,2022,TUR,72,MNE,68,True,0.7
2022-09-02,FIBA AmeriCup,2022,BRA,72,CAN,63,True,0.7
2022-09-02,EuroBasket,2022,CRO,85,GRE,89,True,0.7
2022-09-02,EuroBasket,2022,ISR,89,FIN,87,True,0.7
2022-09-02,EuroBasket,2022,ITA,83,EST,62,True,0.7
2022-09-02,FIBA AmeriCup,2022,MEX,73,USA,67,True,0.7
2022-09-02,EuroBasket,2022,POL,99,CZE,84,True,0.7
2022-09-02,EuroBasket,2022,SRB,100,NED,76,True,0.7
2022-09-02,EuroBasket,2022,UKR,90,GBR,61,True,0.7
2022-09-02,FIBA AmeriCup,2022,URU,64,COL,70,True,0.7
2022-09-02,FIBA AmeriCup,2022,VEN,72,PAN,58,True,0.7
2022-09-03,EuroBasket,2022,BUL,87,TUR,101,True,0.7
2022-09-03,FIBA AmeriCup,2022,CAN,84,URU,78,True,0.7
2022-09-03,FIBA AmeriCup,2022,COL,60,BRA,100,True,0.7
2022-09-03,EuroBasket,2022,CZE,68,SRB,81,True,0.7
2022-09-03,EuroBasket,2022,EST,73,UKR,74,True,0.7
